folioviv,ubica_geo
100013601,1001
100013602,1001
100013603,1001
100013604,1001
100013606,1001
100026701,1001
100026703,1001
100026704,1001
100026706,1001
100027201,1001
100027202,1001
100027204,1001
100027205,1001
100045501,1001
100045502,1001
100045503,1001
100045505,1001
100045506,1001
100054301,1001
100054302,1001
100054303,1001
100054305,1001
100054306,1001
100058901,1001
100058902,1001
100058903,1001
100058906,1001
100062801,1001
100062802,1001
100062803,1001
100062804,1001
100062805,1001
100062806,1001
100067401,1001
100067402,1001
100067403,1001
100067404,1001
100067405,1001
100067406,1001
100068901,1001
100068902,1001
100068904,1001
100068906,1001
100069801,1001
100069802,1001
100069803,1001
100069804,1001
100069805,1001
100069806,1001
100073401,1001
100073402,1001
100073403,1001
100073404,1001
100073405,1001
100074001,1001
100074002,1001
100074003,1001
100074004,1001
100074005,1001
100074006,1001
100076401,1001
100076402,1001
100076403,1001
100076404,1001
100076405,1001
100076406,1001
100080001,1001
100080002,1001
100080003,1001
100080003,1001
100080004,1001
100080005,1001
100080006,1001
100082601,1001
100082602,1001
100082603,1001
100082604,1001
100082605,1001
100082606,1001
100084701,1001
100084702,1001
100084703,1001
100084704,1001
100084705,1001
100084706,1001
100095601,1001
100095603,1001
100095604,1001
100095605,1001
100095606,1001
100102202,1001
100102203,1001
100102204,1001
100102205,1001
100102206,1001
100102206,1001
100104701,1001
100104702,1001
100104703,1001
100104705,1001
100104705,1001
100104706,1001
100113501,1001
100113502,1001
100113503,1001
100113505,1001
100113506,1001
100154201,1001
100154203,1001
100154204,1001
100154205,1001
100154206,1001
100170501,1001
100170502,1001
100170503,1001
100170504,1001
100170505,1001
100170506,1001
100175303,1001
100175305,1001
100175306,1001
100186301,1001
100186303,1001
100186304,1001
100188902,1001
100188903,1001
100188904,1001
100188906,1001
100192801,1001
100192802,1001
100192803,1001
100192805,1001
100192806,1001
100206401,1001
100206405,1001
100211002,1001
100211003,1001
100211004,1001
100211005,1001
100215601,1001
100215603,1001
100215603,1001
100215604,1001
